0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:23 +0900] "GET /resources/assets/plugins/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:23 +0900] "GET /mng/mnghome/dashboard?loginFlag=Y HTTP/1.1" 200 79979
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:23 +0900] "GET /resources/assets/img/icon_openstack.png HTTP/1.1" 200 11528
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:23 +0900] "GET /resources/assets/img/icon_vm.png HTTP/1.1" 200 16106
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:23 +0900] "GET /resources/assets/fonts/NotoSansKR-Light.woff2 HTTP/1.1" 200 167060
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:23 +0900] "GET /resources/assets/fonts/NotoSansKR-Bold.woff2 HTTP/1.1" 200 170292
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:23 +0900] "GET /resources/assets/img/mng_service_icon.png HTTP/1.1" 200 899077
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:23 +0900] "GET /resources/js/chart.js HTTP/1.1" 200 156726
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:23 +0900] "POST /mng/bbs/qna/noReplyCount HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:23 +0900] "GET /resources/mng/assets/img/header_btn_noti.png HTTP/1.1" 200 9552
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:23 +0900] "GET /favicon.ico HTTP/1.1" 200 3890
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:23 +0900] "POST /mng/cmm/user/mngUserPic HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:33 +0900] "GET /mbr HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:33 +0900] "GET /mbr/ HTTP/1.1" 200 28551
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/js/jquery-1.12.4.min.js HTTP/1.1" 200 97166
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/plugins/jquery/jquery-1.9.1.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/plugins/jquery/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121216
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/plugins/jquery-ui/themes/base/minified/jquery-ui.min.css HTTP/1.1" 200 25697
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/css/plugins/jquery.modal.css HTTP/1.1" 200 18810
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/plugins/bootstrap-datepicker/css/bootstrap-datepicker3.css HTTP/1.1" 200 22983
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/plugins/bootstrap-calendar/css/bootstrap_calendar.css HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/plugins/bootstrap-datepicker/css/bootstrap-datepicker.css HTTP/1.1" 200 17267
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/css/plugins/dataTables.bootstrap.css HTTP/1.1" 200 6756
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/css/animate.min.css HTTP/1.1" 200 47590
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/css/plugins/jquery.modal.theme-atlant.css HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/css/plugins/dataTables.tableTools.css HTTP/1.1" 200 10963
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/css/plugins/jquery.modal.theme-xenon.css HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/css/style.css?v=5 HTTP/1.1" 200 234056
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/plugins/jquery/jquery-3.4.1.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/plugins/jquery-ui/ui/minified/jquery-ui.min.js HTTP/1.1" 200 228478
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/css/jquery.realperson.css HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/plugins/jquery/jquery-migrate-3.4.0.min.js HTTP/1.1" 200 13424
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/img/member_join.png HTTP/1.1" 200 14670
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/img/logo_blue.png HTTP/1.1" 200 12166
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/css/amsify.suggestags.css HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/js/plugins/jquery.placeholder.js HTTP/1.1" 200 5482
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/img/id_pw_find.png HTTP/1.1" 200 14505
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/js/plugins/respond.js HTTP/1.1" 200 10517
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/js/plugins/jquery.MultiFile.js HTTP/1.1" 200 30614
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/highCharts/code/highcharts.js HTTP/1.1" 200 201461
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/js/plugins/jquery.plugin.js HTTP/1.1" 200 11513
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/css/reset.css HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/css/style_b.css HTTP/1.1" 200 21692
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/js/topslider.js HTTP/1.1" 200 3693
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/js/plugins/bootstrap.js HTTP/1.1" 200 60457
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/js/plugins/dataTables.tableTools.js HTTP/1.1" 200 87450
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/js/plugins/jquery.dataTables.js HTTP/1.1" 200 424288
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/js/plugins/jquery.modal.js HTTP/1.1" 200 11048
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/js/plugins/dataTables.bootstrap.js HTTP/1.1" 200 9599
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/js/set/modal.js HTTP/1.1" 200 2659
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/js/plugins/jquery.mtz.monthpicker.js HTTP/1.1" 200 12661
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/js/set/core.js HTTP/1.1" 200 11283
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/js/apps.js HTTP/1.1" 200 24783
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/plugins/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/fonts/NotoSansKR-Regular.woff2 HTTP/1.1" 200 170444
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/fonts/NotoSansKR-Bold.woff2 HTTP/1.1" 200 170292
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/fonts/NotoSansKR-Medium.woff2 HTTP/1.1" 200 170156
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/assets/img/login_bg.png HTTP/1.1" 200 5247486
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /resources/js/xlsx.full.min.js HTTP/1.1" 200 930851
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:34 +0900] "GET /favicon.ico HTTP/1.1" 200 3890
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:36 +0900] "POST /mbr/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:36 +0900] "GET /mbr/main HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/mng/assets/img/loading.gif HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/logo.png HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /mbr/mbrhome/dashboard?loginFlag=Y HTTP/1.1" 200 145067
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/left_resource_sin.svg HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/left_monitoring.svg HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/left_project.svg HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/left_resource_current.svg HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/left_sincurrent.svg HTTP/1.1" 200 2032
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/icon_cpu.png HTTP/1.1" 200 275224
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/icon_server.png HTTP/1.1" 200 284811
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/icon_mem.png HTTP/1.1" 200 275161
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/icon_disk.png HTTP/1.1" 200 275117
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/left_question.svg HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/icon_application.svg HTTP/1.1" 200 2346
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/order_ser_backup.png HTTP/1.1" 200 2612
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/ser_03.png HTTP/1.1" 200 4925
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/icon_service.svg HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/order_ser_load.png HTTP/1.1" 200 4285
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/icon_build.svg HTTP/1.1" 200 1724
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/icon_pod.svg HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/icon_router.svg HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/fonts/NotoSansKR-Light.woff2 HTTP/1.1" 200 167060
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/order_ser_snap.png HTTP/1.1" 200 6444
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/order_ser_account.png HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/service_apache.png HTTP/1.1" 200 5144
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/service_jboss.png HTTP/1.1" 200 8007
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/service_maria.png HTTP/1.1" 200 6735
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/service_tomcat.png HTTP/1.1" 200 7255
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/service_postgresql.png HTTP/1.1" 200 11879
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/server_icon.png HTTP/1.1" 200 21027
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/service_cubrid.png HTTP/1.1" 200 6482
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/special_icon06.png HTTP/1.1" 200 28702
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/js/chart.js HTTP/1.1" 200 156726
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /resources/assets/img/alert_picto.png HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "POST /mbr/cmm/user/userPic HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:39 +0900] "GET /favicon.ico HTTP/1.1" 200 3890
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:40 +0900] "POST /mbr/req/catalogue/getBasketCnt HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [05/Mar/2025:16:16:40 +0900] "GET /mbr/mbrhome/mbrProjectResourcesList?_=1741158999689 HTTP/1.1" 200 9726
